,User,Time,Tweet,Location,Verified,Tweet_Source,Followers,Retweet_Count,Tweet ID
0,burnaboyjr1,2022-07-11 15:33:36+00:00,"RT @pesinpikinn: I love every bit of this album aswr😂🥰🥰🥰🥵🥵❤️❤️❤️❤️❤️🤲🤲🤲

#LOVEDAMINI https://t.co/7DHPiB0tCN",,False,Twitter for Android,1079,3,1546518076287602688
1,Raphrich001,2022-07-11 15:33:36+00:00,"RT @Burnaboystats1: 🇺🇸 USA Apple Music top songs 

#25 - Last Last (new peak)

#BurnaBoy #LoveDamini https://t.co/4xQqE3oDbL",,False,Twitter for Android,616,49,1546518075842904065
2,outside696,2022-07-11 15:33:33+00:00,RT @Burnaboystats1: Burna boy becomes the first African artist to have two songs from an album chart in more than 10 countries each on Spot…,Outside,False,Twitter for iPhone,485,94,1546518063083917313
3,adupsyduck,2022-07-11 15:33:30+00:00,"RT @Outsidian: She bowed for the result ‘Last Last’ 😀🙌🏾

#LoveDamini  https://t.co/jB6wjaBzIv","Lagos, Nigeria",False,Twitter for Android,4377,47,1546518049989300225
4,oluwawaapelumi,2022-07-11 15:33:29+00:00,"RT @officialdavidg_: My own cover @VectorThaViper X @MI_Abaga crown of clay cover 

Pls help retweet when you see this on your TL

#ThorLov…","Lagos, Nigeria",False,Twitter for iPhone,2223,11,1546518045807583232
5,sackeystephen3,2022-07-11 15:33:29+00:00,"RT @burnaboy: Before I announced, working on a second :) #LOVEDAMINI https://t.co/aJ99Cb6bMC","Eastern, Ghana",False,Twitter for iPhone,388,973,1546518043139899394
6,Sammie_xzn,2022-07-11 15:33:28+00:00,"RT @burnaboy: Before I announced, working on a second :) #LOVEDAMINI https://t.co/aJ99Cb6bMC",Angus cloud 9,False,Twitter for Android,2211,973,1546518040669454338
7,outside696,2022-07-11 15:33:25+00:00,"RT @Burnaboystats1: “Wild dreams” ft @thegreatkhalid on Spotify today: 

• 🇸🇪 SWD — #57 (+3) 
•  🇿🇦 SA —- #180 

#LoveDamini #BurnaBoy 

ht…",Outside,False,Twitter for iPhone,485,20,1546518030062166017
8,RitzLucy,2022-07-11 15:33:24+00:00,"RT @AshlySfm: This Burna Boy new album is the best he has ever released , omoooo e deserve more than on Grammy. #LOVEDAMINI","Ebonyi, Nigeria",False,Twitter for Android,481,10,1546518024265531392
9,outside696,2022-07-11 15:33:23+00:00,"RT @Burnaboystats1: #BurnaBoy currently holds the number #1  spot on Apple Music Top Songs in 39 different countries. 

“Last Last” - 30 co…",Outside,False,Twitter for iPhone,485,33,1546518020675325953
10,Faruk997,2022-07-11 15:33:20+00:00,"RT @burnaboy: Well, #LOVEDAMINI  https://t.co/34gUoYOsto 😘 https://t.co/Bka6wsPMCi","Madina, Ghana",False,Twitter for Android,282,2271,1546518008088219649
11,macdawid,2022-07-11 15:33:18+00:00,RT @iam_banbo: i feel like burna boy is talking directly to me when he said this cos am in such a fucked up place in my life right now and…,Canaan Land,False,Twitter for Android,10567,2,1546518000240664576
12,theclickrr,2022-07-11 15:33:18+00:00,"@thegreatkhalid Thanks for those awesome line in WILD DREAMS 

#LOVEDAMINI",Techdom,False,Twitter Web App,253,0,1546517999615705088
13,Adeolu63992015,2022-07-11 15:33:17+00:00,"RT @burnaboy: Before I announced, working on a second :) #LOVEDAMINI https://t.co/aJ99Cb6bMC","Ogun, Nigeria",False,Twitter for Android,112,973,1546517994435649541
