,User,Time,Tweet,Location,Verified,Tweet_Source,Followers,Retweet_Count,Tweet ID
0,RichFor65564503,2022-07-10 00:44:09+00:00,"@burnaboy and @edsheeran  what did u guys put in this song #formyhand Omo that song is too dope abeg 
#LOVEDAMINI","Frankfurt, Hesse",False,Twitter for Android,360,0,1545931848961998849
1,Frefrick1,2022-07-10 00:44:04+00:00,"RT @chukaobi: @burnaboy made the album of the year with #LOVEDAMINI  

I don’t know how 19 songs can keep going by so fast.

Zero skips, to…",,False,Twitter for iPhone,901,25,1545931826664964102
2,nwobodonobert,2022-07-10 00:44:01+00:00,"RT @UnrulyOutsider: Portugal 🇵🇹 iTunes Top Albums:

1. Burna Boy — #LoveDamini [New Entry] https://t.co/Vf2byrDnlR",Nigeria ,False,Twitter for Android,2369,93,1545931816590315520
3,Ogidan49232874,2022-07-10 00:43:57+00:00,RT @AlbumTalksHQ: .@burnaboy’s #LOVEDAMINI is currently #1 in 43 countries and charts in over 130 countries overall. 😳🤯 https://t.co/Rbp9xV…,Outside,False,Twitter for iPhone,184,781,1545931798848446464
4,ShottiGunz,2022-07-10 00:43:55+00:00,"RT @spIhuah: This Whiskey jam came at the perfect time, with this flooding issue in PH and Lagos, especially Lagos. #LOVEDAMINI",this side,False,Twitter for iPhone,1578,11,1545931791843958784
5,Ogidan49232874,2022-07-10 00:43:50+00:00,RT @WayneH__: #LOVEDAMINI gets better with each listen,Outside,False,Twitter for iPhone,184,517,1545931771031732226
6,Ogidan49232874,2022-07-10 00:43:47+00:00,RT @AlbumTalksHQ: .@burnaboy’s #LOVEDAMINI debuts at #1 on the NG Spotify Top albums chart.,Outside,False,Twitter for iPhone,184,256,1545931757136011268
7,ChideraHenry15,2022-07-10 00:43:47+00:00,RT @RevoGorilla: Only if I paid attention to my ex like I am doing with #LOVEDAMINI we will be singing *Solid* together now on a *Rollercoa…,Outsiders,False,Twitter for Android,144,26,1545931756125261824
8,nwobodonobert,2022-07-10 00:43:47+00:00,"RT @Burnaboystats1: #LoveDamini becomes the African album with the most songs entries on Apple Music worldwide chart (9)

#12 - Last Last (…",Nigeria ,False,Twitter for Android,2369,103,1545931755718418432
9,Ogidan49232874,2022-07-10 00:43:44+00:00,"RT @Fola010605: Burna Boy thanks for this your new album #LOVEDAMINI 
I give you 10/10 🙌🤌
My favorites are 
For my hand
Vanilla 
Different…",Outside,False,Twitter for iPhone,184,162,1545931745400393730
10,Ogidan49232874,2022-07-10 00:43:41+00:00,RT @ddoktashittu: I listened to #LOVEDAMINI that shiii is 🔥🔥 .@burnaboy u do this one 👏👏,Outside,False,Twitter for iPhone,184,171,1545931729642323969
11,Ogidan49232874,2022-07-10 00:43:38+00:00,RT @ada__baby: Burna boy and Ed Sheeran made the absolute best collab with For my hand. The song legit speaks to the innermost parts of my…,Outside,False,Twitter for iPhone,184,266,1545931717562753024
12,Dayofrompluto1,2022-07-10 00:43:35+00:00,"Since Burna boy dropped Love Damini, I can’t sleep! My phone and my headphones hasn’t rested. This album is too add… https://t.co/8yOQQA21AN",,False,Twitter for iPhone,123,0,1545931704396914690
13,Ogidan49232874,2022-07-10 00:43:27+00:00,"RT @Outsidian: Burna Boy - Vanilla [Official Music Video] https://t.co/5PilNqGOiM via @YouTube

#LoveDamini",Outside,False,Twitter for iPhone,184,23,1545931674852229121
14,Amusanpeterr,2022-07-10 00:43:27+00:00,RT @burnaboy: Thanks 😊 #LOVEDAMINI,Somewhere,False,Twitter for iPhone,1289,4821,1545931671534542849
15,1Rxseyi,2022-07-10 00:43:21+00:00,"RT @saint4pf: Burna and j hus on cloak &amp; dagger 

#LoveDamini https://t.co/losN7Ijvvq",Tesla workshop / desgin 🆙,False,Twitter for iPhone,334,105,1545931646259679232
16,Ogidan49232874,2022-07-10 00:43:21+00:00,"RT @TheREACHNG: Yesterday when we visited the Aboki community at Elegushi, Lagos. We shared food packs to 300 people courtesy of Burna Boy…",Outside,False,Twitter for iPhone,184,258,1545931645953445888
17,the_wince,2022-07-10 00:43:17+00:00,RT @chartdata: .@burnaboy simultaneously occupies the entire top 19 on the Nigerian Spotify chart with every song from #LOVEDAMINI. He's th…,Above Atletico,False,Twitter for iPhone,569,748,1545931630652674048
18,Ogidan49232874,2022-07-10 00:43:12+00:00,"RT @Burnaboyjnr_: As you are listening to “For my hand” , make sure you jam “last last” too. There’s a reason why they are on the same albu…",Outside,False,Twitter for iPhone,184,292,1545931611052679169
19,ArewaAdebukolaa,2022-07-10 00:43:12+00:00,RT @yrnsammy_: it’s been two days &amp; i can sing the whole tracklist already #LOVEDAMINI,,False,Twitter for iPhone,2072,1,1545931609513213952
20,Ogidan49232874,2022-07-10 00:43:08+00:00,"RT @mahrex_owl: Ed Sheeran trying out Burna Boy’s heavy Jewelries 🧊📸

 “For my hand” is #15 on UK 🇬🇧 Apple Music chart 

#LOVEDAMINI https:…",Outside,False,Twitter for iPhone,184,227,1545931591544754177
21,ArewaAdebukolaa,2022-07-10 00:43:01+00:00,RT @Lexzy09249299: Thank you @burnaboy for giving us the album of the century 🙏🏽 #LOVEDAMINI #BURNABOY𓃵,,False,Twitter for iPhone,2072,1,1545931563933876231
22,Outsideisbliss,2022-07-10 00:43:00+00:00,RT @Iamokorie: I have never seen 19 songs go so fast so quickly….No skipping oo…just pure orgasm after orgasm…#LOVEDAMINI is a masterpiece,"Kumasi, Ghana",False,Twitter for Android,2366,3,1545931560570048513
23,MrQuachey,2022-07-10 00:42:58+00:00,RT @burnaboy: #Vanilla visual story out now ft. #RayBanStories. Full video at https://t.co/mRc0IRAAvD @ray_ban #sponsored #LOVEDAMINI https…,"Greater Accra, Ghana",False,Twitter for iPhone,452,1328,1545931549895426048
24,woleoba,2022-07-10 00:42:53+00:00,"RT @TheLegend_01: I'm an OBIdient artist, so I decided to make a pen drawing of H.E @PeterObi 
Please retweet 🙏
#PeterObi2023 #LOVEDAMINI #…",Nigeria,False,Twitter for Android,880,46,1545931530052280320
