,User,Time,Tweet,Location,Verified,Tweet_Source,Followers,Retweet_Count,Tweet ID,Sentiment,Insight
0,thisispandora23,2022-07-09 23:51:31+00:00, That part burna said “say your body dey ginger me o normally say you get am naturally but I no complain” he sweet my b…,Outside ,False,Twitter for iPhone,1982,31,1545918601835724801,1,Neutral
1,eddyofficial001,2022-07-09 23:51:30+00:00," 1. Cloak &amp; Dagger
2. Whiskey 
3. Different Size
4. Science 
5. How Bad Could It Be

 in that order. LOVEDAMINI","Lagos, Nigeria",False,Twitter for iPhone,166,6,1545918600510414854,1,Neutral
2,Hillzpapii,2022-07-09 23:51:30+00:00, After listen  album for 2 days straight. I believe this is another classic album. LOVEDAMINI  Well done my fami…,"Lagos,Nigeria.",False,Twitter for iPhone,334,232,1545918599063375873,2,Positive
3,thisispandora23,2022-07-09 23:51:27+00:00," ‘ He sampled Fela’ people are the most disappointed. 

LoveDamini",Outside ,False,Twitter for iPhone,1982,64,1545918588510523393,0,Negative
4,theshyghostx,2022-07-09 23:51:27+00:00," Went crazy on this nsg type beat
Like, retweet and take the  crew
_Abz _NSG  _Nsg @_Kruddz…",Nigeria,False,Twitter for Android,190,10,1545918588468580352,1,Neutral
5,sportslovin,2022-07-09 23:51:25+00:00," . earned his biggest streaming day of all-time on Spotify on July 8, with 10 million listens following the release…",Places Unknown,False,Twitter for Android,266,596,1545918577676496897,2,Positive
6,Kcobiefule,2022-07-09 23:51:24+00:00," Twitter please start working on verifying our potential Vice president even before he applies for verification
____…","Lagos, Nigeria",False,Twitter for Android,2357,91,1545918575441055746,1,Neutral
7,Fikayofmars,2022-07-09 23:51:24+00:00,"_ As you are listening to “For my hand” , make sure you jam “last last” too. There’s a reason why they are on the same albu…",Hogwarts🧝‍♂️,False,Twitter for iPhone,5213,276,1545918575390621697,1,Neutral
8,TroyesDave,2022-07-09 23:51:24+00:00,"_LOT1 Was just looking around den I came across this dude 

This video will crack you up 
The werey  even Dey blush untop…","Lagos, Nigeria",False,Twitter for Android,40,3,1545918573578801152,2,Positive
9,megasanctus,2022-07-09 23:51:24+00:00,"_LOT1 Was just looking around den I came across this dude 

This video will crack you up 
The werey  even Dey blush untop…",,False,Twitter for Android,0,3,1545918572693708806,2,Positive
10,simply_nenye,2022-07-09 23:51:23+00:00," This is how it should be.
Simple and plain without abusive words.

Wike lovedamini lekki reno teni shola ",,False,Twitter for Android,100,32,1545918571531960321,1,Neutral
11,ChrisKh57703957,2022-07-09 23:51:19+00:00,"_umd Pls help me check on  and, confirmed his mouth hasn't swell up cos ahh LoveDamini ",,False,Twitter for iPhone,1071,5,1545918551172710400,1,Neutral
12,Hillzpapii,2022-07-09 23:51:17+00:00, Burna Boy never disappoints! I love every bit of his new album. LOVEDAMINI,"Lagos,Nigeria.",False,Twitter for iPhone,334,96,1545918544356966403,2,Positive
